id,topic
880840146584838146,https://www.snopes.com/fact-check/shelter-pets-surrender-photo/
880839320051101696,https://www.snopes.com/fact-check/women-retain-dna/
880838880999727104,https://www.snopes.com/fact-check/social-media-hacker-warning/
880838831586652160,https://www.snopes.com/fact-check/mike-pence-jesus-care/
880836854957977600,https://www.snopes.com/fact-check/mike-pence-jesus-care/
880836541198848000,https://www.snopes.com/fact-check/hillary-clinton-uranium-russia-deal/
880836197219696640,https://www.snopes.com/fact-check/mike-pence-jesus-care/
880835439673843712,https://www.snopes.com/fact-check/hillary-clinton-stupid-quote/
880835224329871360,https://www.snopes.com/fact-check/hillary-clinton-stupid-quote/
880835093693988864,https://www.snopes.com/fact-check/hillary-clinton-stupid-quote/
880834810205192192,https://www.snopes.com/fact-check/hillary-clinton-stupid-quote/
880834515379249152,https://www.snopes.com/fact-check/hillary-clinton-stupid-quote/
880834402011328512,https://www.snopes.com/fact-check/hillary-clinton-stupid-quote/
880833397555376128,https://www.snopes.com/fact-check/u-s-caught-repainting-fighter-jets-to-russian-colors/
880832590609100800,https://www.snopes.com/fact-check/promotional-booklet/
880824809940287489,https://www.snopes.com/fact-check/hillary-clinton-freed-child-rapist-laughed-about-it/
880823134634561536,https://www.snopes.com/fact-check/women-retain-dna/
880821421332504576,https://www.snopes.com/fact-check/feinstein-blum-usps/
880820901280980992,https://www.snopes.com/fact-check/feinstein-blum-usps/
880820017687810048,https://www.snopes.com/fact-check/cnn-and-msnbc-ratings/
880818583001067520,https://www.snopes.com/fact-check/mike-monsoor/
880818577326063616,https://www.snopes.com/fact-check/fareed-zakaria-jihad/
880818267044139008,https://www.snopes.com/fact-check/mike-monsoor/
880818022885113858,https://www.snopes.com/fact-check/trump-fake-time-covers/
880817267335983105,https://www.snopes.com/fact-check/chariot-wheels-found-bottom-red-sea/
880816532791676928,https://www.snopes.com/fact-check/kfc-dearborn-shariah-law/
880816328990392320,https://www.snopes.com/fact-check/george-zimmerman-found-dead-2/
880816060706041857,https://www.snopes.com/fact-check/shelter-pets-surrender-photo/
